hip_id,ra,dec,mag
9007,28.988461,-51.608894,3.69
9009,29.000055,68.685242,4.97
9021,29.038906,37.251831,5.69
9022,29.039175,-49.836445,6.37
9061,29.167484,-22.526785,4.92
9085,29.249414,-51.766243,6.10
9094,29.290035,-10.242427,6.42
9095,29.291882,-47.385277,4.82
9110,29.337719,17.817532,5.09
9132,29.432266,27.804380,5.84
9149,29.472315,-65.424698,6.36
9153,29.482170,23.596062,4.79
9163,29.496811,47.095520,6.48
9207,29.611172,-33.066788,6.37
9220,29.638439,61.697788,6.02
9222,29.639595,49.204353,5.70
9236,29.691765,-61.569859,2.86
9237,29.691660,-11.300955,6.46
9295,29.857861,12.294876,6.09
9307,29.898661,21.058571,5.89
9312,29.908379,64.621605,5.29
9313,29.911770,-42.030533,5.57
9318,29.921249,-66.066559,6.09
9326,29.942490,-20.824539,5.43
9347,30.001259,-21.077831,3.99
9353,30.038158,3.097015,5.89
9372,30.111767,-8.523873,5.43
9440,30.311386,-30.001829,5.34
9459,30.426600,-44.713509,5.15
9480,30.489660,70.907021,4.49
9487,30.511755,2.763759,3.82
9505,30.575384,54.487541,4.99
9521,30.617773,-29.665642,6.40
9533,30.646154,13.476716,5.97
9562,30.715574,-23.886627,6.30
9564,30.718697,64.901466,6.00
9568,30.737654,77.916260,6.04
9570,30.741495,33.284134,5.50
9572,30.744030,-15.305932,5.87
9573,30.750778,64.390015,5.59
9586,30.793709,73.850571,6.12
9589,30.798540,0.128507,5.42
9598,30.859018,72.421295,3.95
9621,30.913904,25.935471,5.64
9622,30.918707,-4.103516,5.61
9627,30.927540,18.253239,6.24
9631,30.950714,-0.340251,5.96
9640,30.974762,42.329723,2.10
9655,31.051952,-11.859770,6.43
9677,31.122658,-29.296820,4.68
9685,31.146194,-54.881687,6.45
9706,31.212542,7.735664,6.44
9727,31.279724,77.281342,5.27
9763,31.381546,76.115059,5.22
9809,31.551090,8.248114,6.27
9827,31.622114,0.035384,6.29
9836,31.641344,22.648317,5.03
9859,31.705141,25.704554,6.01
9862,31.716871,-19.138868,6.39
9884,31.793325,23.462423,2.01
9951,32.023693,-41.880421,6.50
9977,32.121811,37.859077,4.78
9983,32.139824,44.459431,6.38
9990,32.169090,58.423599,5.66
9999,32.190254,-17.779156,6.07
10035,32.288761,-43.516598,5.84
10050,32.346287,17.224195,6.40
10053,32.355541,25.939892,4.98
10054,32.355930,81.295944,6.05
10064,32.385872,34.987297,3.00
10069,32.395020,-24.345785,6.48
10096,32.451916,-40.866501,6.49
10111,32.520000,-43.815575,6.32
10115,32.532257,53.843090,6.31
10138,32.605095,-50.823727,6.12
10155,32.656635,19.500338,5.68
10176,32.720127,39.039528,6.09
10203,32.800228,25.936937,6.01
10212,32.837833,8.569805,5.64
10215,32.842606,-10.052162,6.00
10220,32.854244,31.526398,6.24
10227,32.871643,57.645542,6.38
10234,32.899303,-1.825429,5.94
10273,33.065701,2.745551,6.49
10280,33.092865,30.303066,4.94
10296,33.156406,24.167778,5.96
10305,33.198090,-2.393637,5.65
10306,33.200325,21.210993,5.23
10309,33.208202,79.691544,6.46
10320,33.226952,-30.723825,5.27
10324,33.249977,8.846717,4.36
10326,33.254097,-21.000137,5.86
10328,33.263760,15.279860,5.72
10340,33.305538,44.231651,4.84
10350,33.337803,74.027718,6.25
10361,33.389626,53.058590,6.50
10366,33.400921,51.065819,5.31
10379,33.423374,58.560585,6.43
10396,33.473145,-9.064630,6.43
10403,33.510330,47.484241,6.05
10418,33.560490,-67.841438,5.57
10438,33.621254,66.524429,6.05
10440,33.633121,-41.166763,5.91
10446,33.658199,28.691185,6.35
10513,33.869102,-67.746368,5.67
10535,33.928261,25.043043,5.57
10540,33.941833,25.782936,5.79
10559,33.984524,33.358894,5.25
10562,33.990494,47.811935,6.37
10602,34.127312,-51.512165,3.56
10623,34.188766,83.561417,6.45
10633,34.215481,57.055244,6.48
10642,34.246017,-6.422116,5.51
10644,34.262863,34.224232,4.84
10670,34.328594,33.847195,4.03
10718,34.499397,57.899818,5.75
10723,34.506001,1.757802,5.60
10729,34.519127,57.516319,5.99
10732,34.531410,19.901163,5.58
10793,34.737465,28.642673,5.29
10795,34.741455,23.167814,6.45
10798,34.743828,-25.945686,6.33
10814,34.795124,46.472260,6.21
10819,34.820053,47.379974,5.31
10826,34.836632,-2.977643,6.47
10830,34.844608,48.955463,6.44
10832,34.853188,-41.848366,6.36
10854,34.919910,-4.345573,6.50
10871,34.976086,-55.944798,5.81
10924,35.172958,47.310802,6.17
10944,35.242485,50.151466,5.57
11001,35.437469,-68.659416,4.08
11020,35.480984,57.242916,6.40
11021,35.485950,0.395675,5.29
11029,35.506378,-10.777534,5.43
11033,35.520767,-17.662169,5.89
11043,35.548904,-43.199810,6.30
11046,35.551651,-0.884852,5.42
11060,35.589317,55.845654,5.16
11072,35.635559,-23.816326,5.19
11090,35.709660,41.396297,5.81
11095,35.718452,-73.645790,5.99
11102,35.727779,-51.092129,5.90
11108,35.740097,-18.354982,6.22
11121,35.777489,-37.576145,6.47
11174,35.965607,55.364861,6.29
11212,36.083820,-25.847460,6.45
11220,36.103786,50.006546,5.19
11231,36.140999,-40.840458,6.17
11249,36.204403,10.610565,5.48
11258,36.224808,-60.311947,5.36
11261,36.243286,-2.780031,6.34
11279,36.316784,56.609821,6.25
11293,36.360302,-66.494026,6.39
11313,36.405899,50.278629,4.73
11345,36.487514,-12.290480,4.88
11348,36.501465,-15.341247,5.88
11381,36.646725,-20.042618,5.89
11407,36.746323,-47.703838,4.24
11415,36.780167,27.012396,6.14
11427,36.847469,10.198326,6.45
11432,36.865726,31.801279,5.55
11465,36.965702,50.569973,6.16
11474,36.999702,1.960846,6.45
11477,37.007084,-33.811039,5.13
11479,37.018173,-64.299767,6.35
11484,37.039753,8.460054,4.30
11486,37.041584,29.669331,5.29
11524,37.147652,-31.102446,6.11
11548,37.202084,29.931761,5.89
11569,37.266556,67.402473,4.46
11578,37.306995,23.469027,6.20
11603,37.397324,9.565629,6.09
11644,37.557163,-25.186441,6.50
11651,37.569164,33.833706,6.26
11670,37.634789,25.235037,5.88
11671,37.636635,-22.545319,6.17
11678,37.660065,19.855301,6.14
11687,37.688339,0.255749,6.00
11698,37.726650,17.703856,6.21
11738,37.875404,2.267182,5.27
11757,37.917511,-79.109383,5.27
11767,37.946251,89.264107,1.97
11783,38.021790,-15.244677,4.74
11784,38.025673,36.147270,5.15
11791,38.039249,-1.034896,5.36
11802,38.061478,-36.427307,6.28
11840,38.219280,34.542412,5.84
11843,38.225582,15.034554,6.00
11867,38.279278,-34.649967,5.91
11907,38.417595,-20.001921,6.19
11918,38.461273,-28.232344,4.96
11925,38.477551,-51.093548,6.24
12002,38.677605,-7.859445,5.74
12022,38.767231,7.470993,6.17
12057,38.866245,39.664379,6.36
12072,38.911427,37.312263,5.72
12086,38.945038,34.687557,5.38
12093,38.968636,5.593246,4.87
12107,39.000195,-7.831597,5.53
12114,39.020355,6.886870,5.79
12122,39.038612,-30.044977,5.74
12148,39.146130,7.730026,5.81
12153,39.157967,12.447639,5.64
12160,39.179310,31.607668,6.07
12181,39.238186,38.733582,5.91
12186,39.244217,-34.577976,5.78
12189,39.252151,24.647223,6.48
12200,39.277336,32.891090,6.23
12225,39.351376,-52.543087,5.30
12239,39.400143,65.745338,5.80
12247,39.424171,-3.396175,5.65
12272,39.503132,7.695276,6.40
